time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-17T04:24:08.840Z,32.8465,-96.9682,5,2.1,mb_lg,,95,0.024,0.29,us,us100047uq,2016-03-12T02:29:14.040Z,"4km NNW of Irving, Texas",earthquake,2.3,1.9,0.228,5,reviewed,us,us
2015-12-07T00:27:24.860Z,32.8186,-96.9185,5,2.8,mb_lg,,78,0.012,0.49,us,us100044is,2016-03-02T03:36:35.040Z,"2km E of Irving, Texas",earthquake,2.6,2,0.078,43,reviewed,us,us
2015-12-06T13:29:03.800Z,34.829,-97.8136,2.853,2.7,ml,,144,,0.48,us,us100044fl,2016-03-02T03:36:34.040Z,"14km ENE of Rush Springs, Oklahoma",earthquake,2.1,7.8,,,reviewed,tul,tul
2015-12-06T00:44:08.510Z,32.8752,-96.921,5.7,2.1,ml,,57,0.032,0.39,us,us100044ii,2016-03-02T03:36:33.040Z,"6km SSW of Farmers Branch, Texas",earthquake,1.2,1.8,0.128,8,reviewed,us,us
2015-12-05T01:14:18.900Z,34.8037,-97.8063,10.507,3.1,ml,,181,,0.74,us,us1000448c,2016-03-02T03:36:32.040Z,"13km E of Rush Springs, Oklahoma",earthquake,4.7,7.8,,,reviewed,tul,tul
2015-12-04T14:22:58.700Z,32.8648,-96.9196,5,2.1,ml,,66,0.023,0.44,us,us100044hu,2016-03-02T03:36:30.040Z,"6km NNE of Irving, Texas",earthquake,0.9,1.6,0.128,8,reviewed,us,us
2015-12-04T06:56:03.250Z,32.8655,-96.9028,5.66,2.6,mb_lg,,108,0.016,0.3,us,us1000438z,2017-08-25T12:09:59.579Z,"6km S of Farmers Branch, Texas",earthquake,1.5,2.2,0.18,8,reviewed,us,us
2015-12-03T21:35:59.000Z,32.8576,-96.9236,5,2.8,mb_lg,,44,0.022,0.6,us,us1000435f,2016-03-02T03:36:29.040Z,"5km NNE of Irving, Texas",earthquake,1.5,1.8,0.074,47,reviewed,us,us
2015-11-25T13:26:43.100Z,35.024,-97.6467,4.896,2.6,ml,,68,,0.26,us,us1000418r,2016-02-18T04:48:55.040Z,"12km S of Blanchard, Oklahoma",earthquake,1.2,7.1,,,reviewed,tul,tul
2015-11-25T06:25:18.230Z,35.0099,-97.6407,6.73,2.6,mb_lg,,67,0.315,0.67,us,us10004161,2016-02-18T04:48:54.040Z,"14km S of Blanchard, Oklahoma",earthquake,1.5,6.5,0.095,29,reviewed,us,us
